Year,TeamID,SOS,AdjWin
2019.0,1242.0,0.6187,0.6915080969775163
2019.0,1181.0,0.6143,0.8353070653217819
2019.0,1314.0,0.6036,0.8152213875549678
2019.0,1257.0,0.6002,0.566398311772118
2019.0,1400.0,0.5977,0.4395653054460252
2019.0,1452.0,0.5942,0.38590331664483163
2019.0,1329.0,0.5926,0.34849164609765254
2019.0,1393.0,0.5898,0.5735931004250726
2019.0,1246.0,0.5879,0.8259464590667703
2019.0,1336.0,0.5866,0.41714737874069907
2019.0,1280.0,0.5851,0.6577364553977796
2019.0,1277.0,0.5824,0.8353564141280447
2019.0,1268.0,0.5801,0.640793907164638
2019.0,1199.0,0.5789,0.7770489556078266
2019.0,1120.0,0.5785,0.7264121761389979
2019.0,1328.0,0.5784,0.5278702506852597
2019.0,1104.0,0.5784,0.49858882270005733
2019.0,1235.0,0.578,0.6393907645956998
2019.0,1345.0,0.5778,0.7169092086309844
2019.0,1437.0,0.5775,0.7305750218912849
2019.0,1166.0,0.5766,0.5162223924351955
2019.0,1196.0,0.5747,0.555601287460739
2019.0,1371.0,0.5746,0.5933997905608467
2019.0,1438.0,0.5738,0.8848672555954904
2019.0,1458.0,0.5736,0.6692731607307816
2019.0,1261.0,0.5718,0.8061671761377455
2019.0,1401.0,0.5717,0.4330178305116298
2019.0,1397.0,0.5717,0.8269326681034262
2019.0,1274.0,0.5715,0.38100442365189346
2019.0,1243.0,0.5698,0.7381362869128102
2019.0,1276.0,0.5695,0.7799428745897267
2019.0,1139.0,0.5688,0.4397869691175662
2019.0,1124.0,0.5684,0.5784826747993963
2019.0,1278.0,0.5684,0.5645924740695832
2019.0,1376.0,0.5682,0.47554459504670166
2019.0,1388.0,0.5677,0.6776373602076906
2019.0,1395.0,0.5677,0.5431268599253415
2019.0,1266.0,0.5656,0.7000299322415582
2019.0,1304.0,0.5655,0.4509938445145694
2019.0,1462.0,0.5649,0.5338344269048427
2019.0,1155.0,0.5647,0.553968008098126
2019.0,1222.0,0.563,0.8908765548364552
2019.0,1153.0,0.5625,0.8293176490906745
2019.0,1416.0,0.5617,0.7235550700173597
2019.0,1417.0,0.5616,0.4731148334416091
2019.0,1272.0,0.5613,0.6248748187782828
2019.0,1326.0,0.5612,0.5041215381712829
2019.0,1185.0,0.5592,0.4035614505571285
2019.0,1344.0,0.5591,0.510981838126759
2019.0,1448.0,0.5588,0.29985806126142267
2019.0,1228.0,0.5573,0.37361569149979806
2019.0,1231.0,0.5572,0.4718698739997138
2019.0,1439.0,0.5567,0.7085215833256511
2019.0,1208.0,0.5564,0.27767292911561137
2019.0,1403.0,0.5563,0.7839242444563892
2019.0,1281.0,0.5557,0.42828649616479025
2019.0,1449.0,0.5555,0.7680013481500019
2019.0,1211.0,0.5553,0.9036266028736092
2019.0,1116.0,0.5547,0.4952831927931043
2019.0,1455.0,0.5542,0.6027823290607407
2019.0,1332.0,0.551,0.6595587096897406
2019.0,1435.0,0.5509,0.1732422124756708
2019.0,1140.0,0.5504,0.5906948568720646
2019.0,1374.0,0.5484,0.42878518517704756
2019.0,1163.0,0.5481,0.42666442031735474
2019.0,1433.0,0.5482,0.786181604495988
2019.0,1279.0,0.5478,0.5858801562538783
2019.0,1210.0,0.5467,0.3925224944420595
2019.0,1385.0,0.5465,0.5605775320881958
2019.0,1113.0,0.546,0.6534091764567932
2019.0,1325.0,0.5459,0.39790256962704956
2019.0,1323.0,0.5454,0.3490034961720354
2019.0,1353.0,0.5431,0.40515092224371035
2019.0,1234.0,0.5429,0.6120844217317284
2019.0,1207.0,0.5414,0.5481459296351692
2019.0,1112.0,0.5413,0.4701340266935759
2019.0,1408.0,0.5412,0.07905762985077451
2019.0,1396.0,0.5409,0.6900580552983294
2019.0,1138.0,0.5403,0.9020299607932939
2019.0,1360.0,0.5396,0.5569081833534618
2019.0,1217.0,0.5394,0.6482674158079919
2019.0,1338.0,0.5386,0.3356370533752229
2019.0,1320.0,0.5377,0.4724008133004167
2019.0,1143.0,0.5371,0.24429889864267257
2019.0,1409.0,0.5369,0.5172334990764837
2019.0,1130.0,0.5366,0.3797717964774315
2019.0,1275.0,0.5351,0.4292562701221332
2019.0,1321.0,0.5351,0.32306295079886166
2019.0,1428.0,0.535,0.5484403120474369
2019.0,1443.0,0.5347,0.6034369504755096
2019.0,1361.0,0.5341,0.599148807018779
